Person Name,Projekt Name,Projekt Link
Professor Dr. Konrad  Förstner,sRNARegNet - Vergleichende Analyse der regulatorischen Netzwerke kleiner RNA in Gammaproteobacteria,/gepris/projekt/433110396
Professor Dr. Konrad  Förstner,PIXLS - Preprint Information eXtraction for Life Sciences,/gepris/projekt/492813820
Professor Dr. Konrad  Förstner,Automatic Quality Assessment: NLP-Verfahren zur semantischen Kartierung von Lebenswissenschaftlichen Texten (AQUAS),/gepris/projekt/509313233
Professor Dr. Konrad  Förstner,NFDI4Microbiota - Nationale Forschungsdateninfrastruktur für Mikrobiota-Forschung,/gepris/projekt/460129525
Professor Dr. Konrad  Förstner,Base4NFDI - Basisdienste für die NFDI (NFDI4Microbiota),/gepris/projekt/521476232
