Person Name,Projekt Name,Projekt Link
Professor Dr. Peer  Bork,Stoffwechselwegvorhersagen mittels Genomanalyse und Enzymkettenmodellierung,/gepris/projekt/5131248
Professor Dr. Peer  Bork,Molekulare Pathogenese und Immunbiologie intestinaler MSI Tumoren in einem DNA Mismatch Reparatur-defizienten Mausmodell,/gepris/projekt/290363600
Professor Dr. Peer  Bork,EXC 81: Zelluläre Netzwerke: Von der Analyse molekularer Mechanismen zum quantitativen Verständnis komplexer Funktionen,/gepris/projekt/24122740
Professor Dr. Peer  Bork,GHGA – Deutsches Humangenom-Phenomarchiv,/gepris/projekt/441914366
Professor Dr. Peer  Bork,NFDI4Microbiota - Nationale Forschungsdateninfrastruktur für Mikrobiota-Forschung,/gepris/projekt/460129525
Professor Dr. Peer  Bork,Molekularbiologie,/gepris/projekt/5413368
